short,display,mean_dsc,params_M,gflops,category
C8_D4_No,FiLM C8 D4 NoCond,71.4,1.8,13.0,FiLM
C8_D4_E,FiLM C8 D4 E,74.8,2.6,13.1,FiLM
C8_D4_SAC,FiLM C8 D4 SAC,75.7,18.5,100.0,FiLM
C16_D4_No,FiLM C16 D4 NoCond,70.9,7.0,51.0,FiLM
C16_D4_E,FiLM C16 D4 E,75.8,9.8,51.0,FiLM
C16_D4_SAC,FiLM C16 D4 SAC,76.6,24.2,139.0,FiLM
C8_D5_No,FiLM C8 D5 NoCond,74.9,7.0,16.0,FiLM
C8_D5_E,FiLM C8 D5 E,77.1,9.8,16.0,FiLM
C8_D5_SAC,FiLM C8 D5 SAC,77.9,26.5,123.0,FiLM
C16_D5_No,FiLM C16 D5 NoCond,72.3,27.8,64.0,FiLM
C16_D5_E,FiLM C16 D5 E,77.2,38.3,64.0,FiLM
C16_D5_SAC,FiLM C16 D5 SAC,78.3,48.1,171.0,FiLM
nnU-Net,nnU-Net,72.6,140.0,164.0,Competitor
Swin-UNETR,Swin-UNETR,71.0,25.1,89.1,Competitor
U-Mamba,U-Mamba,69.8,54.8,143.1,Competitor
MI-SegNet,MI-SegNet,66.8,68.2,60.2,Competitor
MedSAM,MedSAM,75.3,110.0,495.0,Competitor
SPSS,SPSS,75.4,40.0,40.0,Competitor
UltraSAM,UltraSAM,73.8,94.0,520.0,Competitor
AutoSAMUS,AutoSAMUS,72.3,130.0,140.0,Competitor
